Id,Name,Year,Gender,Count
2244048,Aloysius,2014,M,-26
2244049,Abelardo,2014,M,-26
2244050,Arch,2014,M,-26
2244051,Jacinto,2014,M,-25
2244052,Calvert,2014,M,-26
2244053,Celestino,2014,M,-26
2244054,Chet,2014,M,-26
2244055,Clovis,2014,M,-26
2244056,Cory,2014,M,-26
2244057,Audie,2014,M,-26
2244058,Winthrop,2014,M,-27
2244059,Shane,2014,M,-27
2244060,Wellington,2014,M,-27
2244061,Vester,2014,M,-27
2244062,Titus,2014,M,-27
2244063,Stevens,2014,M,-27
2244064,Elizabeth,2014,M,-26
2244065,Sanders,2014,M,-27
2244066,Ronold,2014,M,-27
2244067,Ronnald,2014,M,-27
2244068,Roderic,2014,M,-27
2244069,Rich,2014,M,-27
2244070,Regan,2014,M,-27
2244071,Glyn,2014,M,-25
2244072,Otho,2014,M,-27
2244073,Laurent,2014,M,-27
2244074,Weston,2014,M,-27
2244075,Gill,2014,M,-26
2244076,Oswald,2014,M,-26
2244077,Jock,2014,M,-26
2244078,Lacey,2014,M,-27
2244079,Isabel,2014,M,-25
2244080,Hansel,2014,M,-25
2244081,Glennis,2014,M,-25
2244082,Gavin,2014,M,-25
2244083,Garald,2014,M,-25
2244084,Eldred,2014,M,-25
2244085,Dorman,2014,M,-25
2244086,Desmond,2014,M,-25
2244087,Daryll,2014,M,-25
2244088,Christine,2014,M,-25
2244089,Christ,2014,M,-25
2244090,Brien,2014,M,-25
2244091,Gustav,2014,M,-26
2244092,Bret,2014,M,-25
2244093,Arvel,2014,M,-25
2244094,Arlo,2014,M,-25
2244095,Agapito,2014,M,-25
2244096,Wendel,2014,M,-26
2244097,Washington,2014,M,-26
2244098,Thurmond,2014,M,-26
2244099,Renard,2014,M,-26
2244100,Oral,2014,M,-26
2244101,Norberto,2014,M,-26
2244102,Marcelo,2014,M,-26
2244103,Mackie,2014,M,-26
2244104,Lew,2014,M,-26
2244105,Layton,2014,M,-26
2244106,Avon,2014,M,-25
2244107,Kennth,2014,M,-27
2244108,Alfonza,2014,M,-28
2244109,Ivey,2014,M,-27
2244110,Clearence,2014,M,-28
2244111,Burnice,2014,M,-28
2244112,Bartley,2014,M,-28
2244113,Barrett,2014,M,-28
2244114,Audrey,2014,M,-28
2244115,Ardell,2014,M,-28
2244116,Alphonzo,2014,M,-28
2244117,Woodie,2014,M,-29
2244118,Westley,2014,M,-29
2244119,Vernie,2014,M,-29
2244120,Trevor,2014,M,-29
2244121,Terrel,2014,M,-29
2244122,Teodoro,2014,M,-29
2244123,Deborah,2014,M,-28
2244124,Shelley,2014,M,-29
2244125,Lawernce,2014,M,-29
